respondent_id,xyz_vaccine_probability,seasonal_vaccine_probability
0,0.024342846543241592,0.05969688409355288
1,0.25975593252800205,0.2225548235188727
2,0.03758507555873075,0.14454708890964302
3,0.0662997906827332,0.9220888767616229
4,0.045341455503921435,0.10083803274935718
5,0.11164907990281758,0.7744484420920632
6,0.07899617892696048,0.2397592942681091
7,0.6351152624981142,0.31615520673725267
8,0.10111993953881002,0.4044808504344307
9,0.09185575485200369,0.35027387238547697
10,0.10990448926887765,0.6011723466622588
11,0.06870742666079445,0.2387497273661477
12,0.06471035873523365,0.937294731664389
13,0.0495723305684434,0.19263444489551584
14,0.3768049866474991,0.5856293836729023
15,0.038788725736626145,0.15132471191489996
16,0.3034352498696904,0.9226215549406499
17,0.10990303774377339,0.5627245576712505
18,0.6674276020750645,0.8798448634143682
19,0.11075689073494081,0.5046950486450786
20,0.21789823431073455,0.49021626909628546
21,0.40717024201789404,0.25142237151494873
22,0.30010427682950247,0.3879654004127927
23,0.1859969020535978,0.17272029189951185
24,0.08460796371689971,0.12236957139539731
25,0.07071429709394664,0.2696633294502435
26,0.25542649761049563,0.872497062163616
27,0.07349682530287302,0.1615693117066352
28,0.01381432069259564,0.0782280191862955
29,0.10157101096188857,0.40717100609553175
30,0.06600301442144381,0.5833189946583148
31,0.06740263750349806,0.10372795484596745
32,0.08222307251188789,0.17608045498581984
33,0.5871256231841713,0.546947798566541
34,0.15615672221665397,0.19777086251793916
35,0.3674993417846008,0.5318166009855484
36,0.09508300198137884,0.824091087268769
37,0.06319740321687525,0.20384658386906393
38,0.21592851651574313,0.5512834572907883
39,0.3794947275376729,0.7661633085358092
40,0.27582076680141404,0.49567983256283393
41,0.44288440959513514,0.7274024107223019
42,0.027016223230770367,0.039183385088104546
43,0.20059821813433173,0.14296926467009866
44,0.03335055005499257,0.13066175688114035
45,0.03253446192399419,0.33777221061177254
46,0.20869263649379913,0.3947766116400437
47,0.21545423627941712,0.32043987658437073
48,0.43277209916703535,0.8766634507565906
